match_id,team1,team2,winner,team1_winrate,team2_winrate,winrate_diff,team1_recent_form,team2_recent_form,form_diff,team1_avg_rnd_diff,team2_avg_rnd_diff,rnd_diff_diff,avg_map_rnd_diff,maps_won_team1,maps_won_team2,total_rnd_diff,total_score,team1_team_avg_rating,team2_team_avg_rating,team_avg_rating_diff,team1_team_avg_acs,team2_team_avg_acs,team_avg_acs_diff,team1_team_avg_KD,team2_team_avg_KD,team_avg_KD_diff,team1_team_avg_kast,team2_team_avg_kast,team_avg_kast_diff,team1_team_avg_adr,team2_team_avg_adr,team_avg_adr_diff,team1_team_avg_kpr,team2_team_avg_kpr,team_avg_kpr_diff,team1_team_avg_apr,team2_team_avg_apr,team_avg_apr_diff,team1_team_avg_fkpr,team2_team_avg_fkpr,team_avg_fkpr_diff,team1_norm_rating,team2_norm_rating,norm_rating_diff,team1_norm_acs,team2_norm_acs,norm_acs_diff,team1_norm_KD,team2_norm_KD,norm_KD_diff,team1_norm_kast,team2_norm_kast,norm_kast_diff,team1_norm_adr,team2_norm_adr,norm_adr_diff,team1_norm_kpr,team2_norm_kpr,norm_kpr_diff,team1_norm_apr,team2_norm_apr,norm_apr_diff,team1_norm_fkpr,team2_norm_fkpr,norm_fkpr_diff,team1_composite_score,team2_composite_score,composite_score_diff
459039,G2 Gozen,GIANTX GC,1,0.726,0.429,0.298,0.7,0.4,0.3,3.0,-2.4,5.4,9.0,2,0,18,2,1.1,1.0,0.1,217.1,197.0,20.1,1.16,1.0,0.16,0.74,0.72,0.02,141.9,132.0,9.9,0.8,0.7,0.1,0.28,0.25,0.03,0.11,0.1,0.01,2.023,0.0,2.023,1.015,0.0,1.015,1.983,0.0,1.983,2.199,0.0,2.199,1.052,0.0,1.052,1.501,0.0,1.501,0.493,0.0,0.493,-0.173,0.0,-0.173,1.46,0.0,1.46
459040,Karmine Corp GC,SK Nebula,1,0.443,0.0,0.443,0.7,0.0,0.7,6.0,-9.5,15.5,5.0,2,0,10,2,1.0,1.0,0.0,201.0,197.0,4.0,1.02,1.0,0.02,0.72,0.72,0.0,133.2,132.0,1.2,0.7,0.7,0.0,0.3,0.25,0.05,0.106,0.1,0.006,-0.612,0.0,-0.612,-1.021,0.0,-1.021,-0.557,0.0,-0.557,0.239,0.0,0.239,-0.622,0.0,-0.622,-0.9,0.0,-0.9,1.237,0.0,1.237,-0.501,0.0,-0.501,-0.497,0.0,-0.497
450052,FunPlus Phoenix,Titan Esports Club,1,0.519,0.353,0.166,0.4,0.3,0.1,-4.2,-9.6,5.4,7.5,2,0,15,2,1.0,0.9,0.1,205.3,196.1,9.2,1.01,0.92,0.09,0.71,0.7,0.01,135.1,125.0,10.1,0.7,0.7,0.0,0.27,0.28,-0.01,0.114,0.108,0.006,-0.967,-2.538,1.571,-0.478,-1.635,1.157,-0.71,-2.524,1.814,-0.857,-1.621,0.764,-0.267,-2.211,1.944,-0.752,-2.033,1.281,-0.343,0.308,-0.651,0.144,-0.335,0.479,-0.612,-1.817,1.205
450051,JDG Esports,Wolves Esports,0,0.355,0.562,-0.208,0.4,0.6,-0.2,-2.6,1.0,-3.6,-3.0,0,2,-6,2,1.0,1.0,-0.1,199.6,207.0,-7.4,0.99,1.02,-0.03,0.69,0.71,-0.02,129.4,134.8,-5.4,0.7,0.7,-0.0,0.24,0.27,-0.03,0.103,0.103,0.0,-2.023,-0.397,-1.626,-1.195,-0.258,-0.937,-1.244,-0.595,-0.649,-1.948,-0.741,-1.207,-1.363,-0.326,-1.037,-1.335,-0.533,-0.802,-1.318,-0.041,-1.277,-0.727,-0.799,0.072,-1.478,-0.469,-1.009
450050,TYLOO,EDward Gaming,0,0.417,0.676,-0.259,0.2,0.7,-0.5,-3.2,-1.4,-1.8,-6.5,0,2,-13,2,1.0,1.0,0.0,207.1,208.8,-1.7,0.99,1.04,-0.05,0.7,0.7,-0.0,137.5,135.7,1.8,0.7,0.7,-0.0,0.27,0.26,0.01,0.114,0.113,0.001,0.097,-0.502,0.599,-0.246,-0.031,-0.215,-1.138,-0.122,-1.016,-1.317,-1.062,-0.255,0.207,-0.157,0.364,-0.679,-0.051,-0.628,0.029,-0.467,0.496,0.144,0.092,0.052,-0.394,-0.244,-0.15
450049,Dragon Ranger Gaming,Nova Esports,1,0.479,0.462,0.018,0.4,0.7,-0.3,-2.8,11.0,-13.8,5.0,2,0,10,2,1.0,1.0,0.0,200.8,195.1,5.7,0.97,0.97,-0.0,0.71,0.69,0.02,133.7,121.7,12.0,0.7,0.7,0.0,0.32,0.29,0.03,0.104,0.09,0.014,-1.423,-1.854,0.431,-1.039,-1.764,0.725,-1.657,-1.626,-0.031,-0.547,-2.073,1.526,-0.533,-2.857,2.324,-1.123,-1.65,0.527,2.073,0.888,1.185,-0.67,-1.951,1.281,-0.902,-1.678,0.776
450048,Trace Esports,All Gamers,1,0.529,0.265,0.264,0.4,0.1,0.3,-9.6,-10.2,0.6,4.0,2,1,12,3,1.0,1.1,-0.1,202.8,212.0,-9.2,1.0,1.01,-0.01,0.7,0.72,-0.02,131.5,138.9,-7.4,0.7,0.7,-0.0,0.23,0.24,-0.01,0.11,0.153,-0.043,-1.525,0.997,-2.522,-0.789,0.377,-1.166,-0.943,-0.691,-0.252,-1.317,0.239,-1.556,-0.965,0.479,-1.444,-0.606,0.363,-0.969,-1.829,-1.435,-0.394,-0.173,2.723,-2.896,-0.993,0.341,-1.334
460520,Lost Puppies,G2 Gozen,1,0.0,0.734,-0.734,0.0,0.8,-0.8,0.0,8.4,-8.4,6.5,2,0,13,2,1.0,1.1,-0.1,197.0,217.1,-20.1,1.0,1.16,-0.16,0.72,0.74,-0.02,132.0,141.9,-9.9,0.7,0.8,-0.1,0.25,0.28,-0.03,0.1,0.11,-0.01,0.0,2.023,-2.023,0.0,1.015,-1.015,0.0,1.983,-1.983,0.0,2.199,-2.199,0.0,1.052,-1.052,0.0,1.501,-1.501,0.0,0.493,-0.493,0.0,-0.173,0.173,0.0,1.46,-1.46
450047,Xi Lai Gaming,Bilibili Gaming,0,0.656,0.549,0.107,0.6,0.4,0.2,0.4,-3.6,4.0,-1.3,1,2,-4,3,1.0,1.0,0.0,215.4,198.4,17.0,1.04,0.98,0.07,0.7,0.72,-0.02,139.9,129.9,10.0,0.8,0.7,0.1,0.21,0.31,-0.1,0.12,0.108,0.012,-0.562,-0.562,0.0,0.798,-1.347,2.145,-0.178,-1.456,1.278,-1.621,-0.078,-1.543,0.67,-1.27,1.94,0.748,-1.498,2.246,-2.852,1.608,-4.46,0.598,-0.335,0.933,-0.158,-0.745,0.587
459083,ENVY,Blue Otter,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,7.0,2,0,14,2,1.0,1.0,0.0,210.6,197.0,13.6,1.06,1.0,0.06,0.72,0.72,0.0,136.4,132.0,4.4,0.7,0.7,0.0,0.26,0.25,0.01,0.122,0.1,0.022,-0.308,0.0,-0.308,0.197,0.0,0.197,0.229,0.0,0.229,0.398,0.0,0.398,-0.013,0.0,-0.013,0.187,0.0,0.187,-0.622,0.0,-0.622,0.745,0.0,0.745,0.157,0.0,0.157
460516,G2 Gozen,5STARS Esport,1,0.731,0.0,0.731,0.8,0.0,0.8,6.2,0.0,6.2,3.0,2,0,6,2,1.1,1.0,0.1,217.1,197.0,20.1,1.16,1.0,0.16,0.74,0.72,0.02,141.9,132.0,9.9,0.8,0.7,0.1,0.28,0.25,0.03,0.11,0.1,0.01,2.023,0.0,2.023,1.015,0.0,1.015,1.983,0.0,1.983,2.199,0.0,2.199,1.052,0.0,1.052,1.501,0.0,1.501,0.493,0.0,0.493,-0.173,0.0,-0.173,1.46,0.0,1.46
460065,Digital Athletics,ULF Esports,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-2.0,2.0,-4.0,-5.5,0,2,-11,2,1.0,1.0,0.0,197.0,199.2,-2.2,1.0,1.01,-0.01,0.72,0.7,0.02,132.0,130.7,1.3,0.7,0.7,-0.0,0.25,0.27,-0.02,0.1,0.104,-0.004,0.0,-0.967,0.967,0.0,-1.248,1.248,0.0,-0.787,0.787,0.0,-1.165,1.165,0.0,-1.108,1.108,0.0,-1.048,1.048,0.0,-0.064,0.064,0.0,-0.67,0.67,0.0,-0.839,0.839
460503,Fruit Ninjas,G2 Gozen,1,0.0,0.739,-0.739,0.0,0.9,-0.9,0.0,8.8,-8.8,1.7,2,1,5,3,1.0,1.1,-0.1,197.0,217.1,-20.1,1.0,1.16,-0.16,0.72,0.74,-0.02,132.0,141.9,-9.9,0.7,0.8,-0.1,0.25,0.28,-0.03,0.1,0.11,-0.01,0.0,2.023,-2.023,0.0,1.015,-1.015,0.0,1.983,-1.983,0.0,2.199,-2.199,0.0,1.052,-1.052,0.0,1.501,-1.501,0.0,0.493,-0.493,0.0,-0.173,0.173,0.0,1.46,-1.46
460064,Galakticos,ULF Esports,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,-0.7,1,2,-2,3,1.0,1.0,0.0,197.0,199.2,-2.2,1.0,1.01,-0.01,0.72,0.7,0.02,132.0,130.7,1.3,0.7,0.7,-0.0,0.25,0.27,-0.02,0.1,0.104,-0.004,0.0,-0.967,0.967,0.0,-1.248,1.248,0.0,-0.787,0.787,0.0,-1.165,1.165,0.0,-1.108,1.108,0.0,-1.048,1.048,0.0,-0.064,0.064,0.0,-0.67,0.67,0.0,-0.839,0.839
