match_id,team1,team2,event,series,winner,score_diff,total_rnd_diff,num_maps,avg_round_diff,max_round_diff,min_round_diff,maps_played,t1_matches,t1_wins,t1_map_diff,t1_round_diff,t2_matches,t2_wins,t2_map_diff,t2_round_diff
582446,Sentinels,ENVY,SEN City Classic 2025,Main Event–Grand Final,1,1,10,3,3.333333333333333,10,-5,Sunset|Pearl|Split,108,70,52,324,37,28,34,227
582445,ENVY,Cubert Academy,SEN City Classic 2025,Main Event–Semifinals,1,2,10,2,5.0,6,4,Haven|Abyss,37,28,34,227,9,3,-5,-31
582198,Wolves Esports,Nongshim RedForce,TEN Global Invitational 2025,Main Event–Round Robin,0,-1,-4,1,-4.0,-4,-4,Abyss,67,34,2,-36,25,14,6,35
582197,Team Heretics,DRX,TEN Global Invitational 2025,Main Event–Round Robin,0,-1,-5,1,-5.0,-5,-5,Haven,92,53,31,138,118,70,27,178
582196,Team Heretics,Wolves Esports,TEN Global Invitational 2025,Main Event–Round Robin,0,-1,-3,1,-3.0,-3,-3,Split,92,53,31,138,67,34,2,-36
582195,DRX,Wolves Esports,TEN Global Invitational 2025,Main Event–Round Robin,1,1,9,1,9.0,9,9,Bind,118,70,27,178,67,34,2,-36
582194,DRX,Nongshim RedForce,TEN Global Invitational 2025,Main Event–Round Robin,1,1,5,1,5.0,5,5,Pearl,118,70,27,178,25,14,6,35
582193,Team Heretics,Nongshim RedForce,TEN Global Invitational 2025,Main Event–Round Robin,0,-1,-6,1,-6.0,-6,-6,Sunset,92,53,31,138,25,14,6,35
582438,ENVY,Sentinels,SEN City Classic 2025,Main Event–Day 2,0,-1,-9,3,-3.0,7,-11,Pearl|Split|Sunset,37,28,34,227,108,70,52,324
582437,Cloud9,Sentinels,SEN City Classic 2025,Main Event–Day 2,0,-2,-6,2,-3.0,-2,-4,Pearl|Split,83,43,-2,43,108,70,52,324
582436,Cloud9,Cubert Academy,SEN City Classic 2025,Main Event–Day 2,0,-1,0,3,0.0,4,-2,Split|Sunset|Abyss,83,43,-2,43,9,3,-5,-31
582435,Cubert Academy,Sentinels,SEN City Classic 2025,Main Event–Day 1,0,-2,-8,2,-4.0,-2,-6,Split|Haven,9,3,-5,-31,108,70,52,324
582434,ENVY,Cubert Academy,SEN City Classic 2025,Main Event–Day 1,1,1,3,3,1.0,6,-8,Split|Abyss|Pearl,37,28,34,227,9,3,-5,-31
582433,ENVY,Cloud9,SEN City Classic 2025,Main Event–Day 1,1,1,4,3,1.3333333333333333,4,-2,Split|Haven|Bind,37,28,34,227,83,43,-2,43
540553,MIBR GC,Wadadaa,Game Changers 2025: Americas Last Chance Qualifier,Main Event–Grand Final,1,2,6,4,1.5,7,-5,Abyss|Lotus|Bind|Ascent,60,39,35,316,6,0,-10,-69
572110,G2 Gozen,Twisted Minds Orchid,Game Changers 2025: EMEA Stage 3,Playoffs–Grand Final,1,3,17,3,5.666666666666667,9,2,Ascent|Sunset|Abyss,119,85,100,657,9,4,-2,11
